FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,Annual,BRN,Brunei Darussalam,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,29.1033,42.8997,45.1771,51.1674,57.3669,64.8898,82.6517,98.7233,105.576,107.255,110.902,110.96,115.826,114.011,108.471,109.751,122.427,125.87,129.268,129.845,119.934,133.597,116.108,118.674,118.131
A,Annual,BTN,Bhutan,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,0.0,0.0,0.0,0.353635,2.94185,5.43918,12.2359,22.0203,36.9241,48.8392,56.1998,68.2555,78.1969,75.0527,85.1866,91.241,93.3821,96.8566,92.6023,95.3473,96.7703,100.331,95.1298,95.6261,99.7577
A,Annual,BWA,Botswana,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,13.2462,19.4051,19.0435,25.0588,28.9318,30.6424,43.9084,60.2637,76.1956,94.1441,116.246,139.87,146.149,151.671,157.018,157.735,147.173,142.962,147.065,160.662,161.859,173.252,178.205,179.027,164.0
A,Annual,CAF,Central African Republic,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,0.129571,0.280649,0.314522,0.974876,1.43102,2.33165,2.5128,7.61859,12.5028,19.0689,21.7946,21.7402,24.7918,29.3015,24.9962,26.8397,26.4836,24.5204,26.2216,32.2627,36.426,35.817,38.8218,,
A,Annual,CAN,Canada,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,28.2502,34.1166,37.6464,41.7477,46.7437,52.4553,57.2331,61.2755,66.0481,70.3945,75.5197,77.6723,79.3757,80.3549,80.7902,82.7674,84.5919,86.1024,89.0495,90.9589,84.7748,87.4056,91.2387,94.1497,94.106
A,Annual,CEB,Central Electricity Board (CEB),ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,26.43646363636364,39.9023,53.4539,63.85443636363636,77.20954545454543,91.47031818181816,104.51413636363635,116.2174,120.06036363636362,119.87036363636363,122.16281818181818,125.36781818181818,130.35109090909089,129.08327272727274,126.5411818181818,124.4230909090909,125.22363636363636,124.411,121.16572727272728,122.12281818181818,121.75172727272728,124.17036363636365,126.29045454545457,127.20672727272728,128.25036363636366
A,Annual,CHE,Switzerland,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,64.5673,73.0073,78.8089,84.3941,84.9756,91.959,99.4337,108.793,116.423,120.483,123.236,127.397,132.031,136.551,136.138,135.723,134.236,131.17,126.681,126.921,127.376,123.212,123.971,130.222,129.471
A,Annual,CHL,Chile,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,21.9402,32.5225,39.3766,45.3566,57.2138,64.6505,75.4174,83.7065,87.871,96.7107,115.545,128.605,136.656,133.778,132.56,128.584,127.565,124.001,133.27,130.493,129.414,136.572,135.114,135.871,132.66
A,Annual,CHN,China,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,6.7156,11.3253,16.0083,20.8536,25.7141,30.0304,34.9802,41.2808,48.0758,55.6575,63.5563,72.5052,81.2076,89.1302,92.6612,92.5401,97.2139,104.073,116.229,122.67,120.497,121.492,124.195,128.247,131.754
A,Annual,CIV,Cote d'Ivoire,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,2.6722,4.00764,5.5056,6.69626,8.54469,11.7071,19.7861,35.5088,48.5676,59.9343,69.3659,75.4688,77.1273,80.9987,90.122,100.639,105.625,118.755,123.098,132.574,138.664,150.344,161.232,171.989,183.876
